,Date,Tweets
0,2020-05-18,"The fact that I see #TSLA cars catch fire in the news way more than ICE cars is VERY telling.

You support spontaneously exploding cars that murder children!!!!!😡🤬#tlsaq https://t.co/gmlwMxdvRO"
1,2020-05-18,1 hour charts for the Group 3 instruments are available for members viewing  https://t.co/x2kmaKA6Ui #ElliottWave #Stocks #ETF's #SPY #GDX #XME #XLE #IYR #AAPL #FB #AMZN #NFLX #GOOGL #MSFT #NVDA #AMD #TSLA #BABA #XOM #BAC  #NKE #GE #Trading https://t.co/YcvU5NnxDN
2,2020-05-18,"May 2nd week PREMIUM Result is here, Total profit 740 PIPS🔥🔥

I know you will miss out : https://t.co/v1jBVZCHcn

#USDJPY #NFLX $BTC #BITCOIN #USDCHF #TSLA #forextrading #stocks #AUDUSD #USDCAD $BTC #forexsignal #EURJPY #AMZN $ETH 705148398 https://t.co/CZdU3C51ca"
3,2020-05-18,"I still don't understand why other automakers are not buying batteries from Tesla/Panasonic. They've made so much progress and attract the best talent that the competition won't be able to catch up for decades! #tsla #demandproblem #FUD
https://t.co/YVyVZaXDrJ"
4,2020-05-18,"May 2nd week PREMIUM Result is here, Total profit 740 PIPS🔥🔥

Best signals channel ever : https://t.co/57ojbjFv7n

#AAPL #AMZN #FB #CRYPTO #USDJPY #USDCHF #TSLA #AUDUSD #NFLX #XAUSUD #EURJPY #USDCAD #XAGUSD #EURCHF #BITCOIN 515145675 https://t.co/Gu64YMZpTg"
5,2020-05-18,"Lost $305 at start, but gained back $410 in 1 hour | Trade VLog | [Day Trading] 
https://t.co/SpWGF2A8Zv

#DayTrading #Daytrader #OptionsScalping #investing #TSLA https://t.co/BLdhc7vm60"
6,2020-05-18,The Group 3 Live Analysis / #Trading Room video recording is available for members https://t.co/x2kmaKA6Ui #ElliottWave #Stocks #ETF's #AAPL #FB #AMZN #T #XOM #XLK #BTC #XLP #XLF #GDX #BAC #TSLA #BABA #GOOGL #GE #NFLX #NKE #FCX #VOX #XME
7,2020-05-18,$TSLA #TSLA as expected.. no change.. for now https://t.co/ADlxQp9rYX
8,2020-05-18,"May 2nd week PREMIUM Result is here, Total profit 740 PIPS🔥🔥

For more Free signals : https://t.co/XIAAhQX0lk

#USOIL #EURJPY #USDJPY #EURUSD #NFLX #Forex #GBPUSD #TSLA #USDCHF #XAUUSD #fx #USDCAD #BITCOIN #AUDUSD #AMZN 772847875 https://t.co/y4rY0NbqN6"
9,2020-05-18,"Tesla #TSLA &amp; Panasonic #PCRFY are talking about a possible reinvestment into the Nevada Gigafactory to expand battery production. Currently, the annualized capacity is 32 gigawatt-hours as of the end of March. Tesla is also currently looking for a location to build a new factory https://t.co/oI6QDCkf0n"
10,2020-05-18,"Dow rallies 900 points as Wall Street cheers potential coronavirus vaccine💰.
$DOW #DOW $DIA #DIA $NYSE #NYSE $Nasdaq #Nasdaq $BA #BA $M #M $MAIN #MAIN $LTC #LTC $DIS #DIS $BAC #BAC $RT #RT $FX #FX $FB #FB $TSLA #TSLA"
11,2020-05-18,@vincent13031925 @tesla #tsla will take over the energy sector and that will be bigger than automotive. Most utilities are curmudgeon’s and ripe for disruption.
12,2020-05-18,@ray4tesla Elon is in Texas today #tsla
13,2020-05-18,"RT @PlanetPonzi: #WallStreetJournal's Tim Higgins Speculates How #ElonMusk's #Telsa #TSLA May Be Included In The S&amp;P 500 Index.

Profits Un…"
14,2020-05-18,RT @RosilesEddie: HUGE THANK YOU @elonmusk for the full accommodation and ensuring that social distancing is not only implemented in manufa…
15,2020-05-18,"Tesla Inc is now $810.76 (1.45%) 💹
#TSLA #TSLAQ #Tesla #TeslaMotors #NASDAQ #EV #Automotive"
16,2020-05-18,"Tesla vs Bitcoin 4 weeks correlation is @+0.25 at the moment, but picking up slowly again. #bitcoin #BTC #tesla #TSLA https://t.co/zHecO8DnQA"
17,2020-05-18,"RT @PlanetPonzi: #WallStreetJournal's Tim Higgins Speculates How #ElonMusk's #Telsa #TSLA May Be Included In The S&amp;P 500 Index.

Profits Un…"
18,2020-05-18,"#TSLA $TSLA getting squeezed out of this triangle here
Although it appears very strong today
Could see a couple more days of this type of movement
Unless of course #catalyst

$VTIQ #VTIQ #catalystmachine https://t.co/XmuykXXB9Y"
19,2020-05-18,#TSLA dip pls need to buy
20,2020-05-18,"#WallStreetJournal's Tim Higgins Speculates How #ElonMusk's #Telsa #TSLA May Be Included In The S&amp;P 500 Index.

Profits Unnecessary, Hype, Media #Propaganda &amp; The Cult-Following of St. #Elon of Freemont.

Too Funny 

https://t.co/nPcfqCpxFf

Quick Can I Buy An 1/8 on #RobinHood ?"
21,2020-05-18,#TSLA hikes up today. #market #updates
22,2020-05-18,#TSLA #Tesla Factory Is Reopening Today. Why Its Next Earnings Will Crush Estimates. https://t.co/pZhKauszk9
23,2020-05-18,"RT @f37stockx: $LTC Ex-Dividends-Date is after tomorrow 20/5/2020 with 0.54% payment at this price💰.
“I’d suggest to hold”
#LTC $DOW #DOW $…"
24,2020-05-18,@squawksquare I think #tsla most likely will hold 810-812 range today which is cluster Fibonacci support.🙂
25,2020-05-18,"People giving away shares of a rocket that will ignite the 2nd stage soon far too easily!!!
#tsla 🚀 
#weakhands
#Daytrader 
#notsellasharebelow10000"
